repo_name,creation_date,main_language,stars_count,merged_pr_count,release_version_count,last_modified_date,total_issue_count,closed_issue_count,issue_resolution_ratio,repository_age,days_since_last_modification
linux,2011-09-04T22:48:12Z,C,176717,10,0,2024-08-22T22:44:08Z,0,0,,13,-1
CS-Notes,2018-02-13T14:56:24Z,Unknown,174354,374,0,2024-08-22T21:25:41Z,578,446,0.7716262975778547,6,-1
ohmyzsh,2009-08-28T18:15:37Z,Shell,171883,3188,0,2024-08-22T22:17:52Z,4795,4677,0.9753910323253389,15,-1
bootstrap,2011-07-29T21:19:00Z,JavaScript,169834,8779,89,2024-08-22T22:17:50Z,22467,22017,0.9799706235812525,13,-1
computer-science,2014-05-04T00:18:39Z,Unknown,167590,267,0,2024-08-22T22:39:09Z,636,619,0.9732704402515723,10,-1
AutoGPT,2023-03-16T09:21:07Z,Python,165960,1857,21,2024-08-22T22:39:44Z,2548,2398,0.9411302982731554,1,-1
flutter,2015-03-06T22:54:58Z,Dart,164187,38630,7,2024-08-22T22:32:10Z,97680,85190,0.8721334971334971,9,-1
vscode,2015-09-03T20:23:38Z,TypeScript,161753,26800,139,2024-08-22T22:31:09Z,181619,172549,0.950060291048844,9,-1
gitignore,2010-11-08T20:17:14Z,Unknown,160580,1546,0,2024-08-22T22:17:39Z,0,0,,14,-1
Python-100-Days,2018-03-01T16:05:52Z,Python,154049,13,0,2024-08-22T21:11:57Z,639,110,0.17214397496087636,6,-1
the-art-of-command-line,2015-05-20T15:11:03Z,Unknown,151835,317,0,2024-08-22T22:17:35Z,251,132,0.5258964143426295,9,-1
JavaGuide,2018-05-07T13:27:00Z,Java,145530,1044,0,2024-08-22T22:34:12Z,1032,970,0.939922480620155,6,-1
javascript,2012-11-01T23:13:50Z,JavaScript,144361,804,0,2024-08-22T22:17:28Z,1323,1231,0.9304610733182161,12,-1
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,Unknown,141350,122,0,2024-08-22T22:37:38Z,0,0,,6,-1
stable-diffusion-webui,2022-08-22T14:05:26Z,Python,138352,1829,26,2024-08-22T22:36:01Z,7606,5387,0.7082566394951354,2,-1
transformers,2018-10-29T13:56:00Z,Python,130942,13171,164,2024-08-22T22:42:43Z,15531,14543,0.9363852939282725,6,-1
youtube-dl,2010-10-31T14:35:07Z,Python,130927,1636,341,2024-08-22T22:44:21Z,26591,22884,0.8605919296002407,14,-1
